,RADeg,decDeg,SNR,numSigPix,deltaT_c,fluxmJy,method,catalog_idx,snr_threshold,iter_num,idx,remeasured,component,patch_num,patch_idx
85,26.11733333333342,5.538000000000019,19.07658041118568,36,94.02266908784192,0.3227307527955366,catalog,57,15.0,10,130,False,cib,0,114
100126,25.137333333333405,6.875333333333357,19.013952851374107,30,63.13066739520926,0.2161453021651473,catalog,72,15.0,33,131,True,cib,0,102807
100127,26.308666666666763,6.160666666666687,18.736738249974746,27,68.03520453397866,0.2332693529414995,catalog,38,15.0,33,132,True,cib,0,102808
100128,26.812666666666747,5.599333333333353,18.40112704870169,64,64.55916628606303,0.2215746642237,catalog,546,15.0,33,133,True,cib,0,102809
100129,25.08466666666675,5.816666666666686,18.08913096870164,33,61.87358065320129,0.2122768960666377,catalog,3315,15.0,33,134,True,cib,0,102810
100130,26.354666666666745,6.011333333333353,18.029965020891137,65,63.48474174947175,0.2177279145568431,catalog,2897,15.0,33,135,True,cib,0,102811
100131,25.71266666666674,6.621333333333356,17.913696679504483,30,60.66805814418184,0.2078226841677009,catalog,12,15.0,33,136,True,cib,0,102812
100132,25.708000000000084,5.79000000000002,17.895908877818293,37,61.80310606650381,0.2120451340920797,catalog,43289,15.0,33,137,True,radio,0,102813
86,24.95066666666674,5.349333333333353,17.86219364467224,28,89.6066096179794,0.3076691256086772,catalog,83074,15.0,10,138,False,radio,0,117
100133,26.78733333333343,6.044666666666688,17.835030217164142,32,63.13271668673365,0.2165074404260127,catalog,95739,15.0,33,139,True,radio,0,102814
87,26.391333333333417,5.471333333333352,17.833086413332953,22,86.10644130569776,0.2955913860527817,catalog,36,15.0,10,140,False,cib,0,118
88,26.91266666666677,6.522666666666689,17.745128112284807,25,83.67280036766489,0.2866840412625916,map,-1,15.0,10,141,False,radio,0,119
89,25.47266666666676,5.1833333333333504,17.685277221254875,22,88.11832742101213,0.302639836346694,catalog,34221,15.0,10,142,False,radio,0,121
90,26.774666666666747,5.228666666666684,17.555205623891684,21,94.1864896029499,0.3234575690028684,map,-1,15.0,10,143,False,radio,0,123
91,26.63800000000008,6.578666666666689,17.324564216784633,25,83.08382194350978,0.2846340976741875,catalog,51980,15.0,10,144,False,radio,0,124
92,25.529333333333422,5.179333333333351,17.273111332272727,20,87.7282673291758,0.3013020758277885,catalog,177,15.0,10,145,False,cib,0,125
